id,eblocal_id,dawa_id,change,geo_change,name,type,zip,population,longitude,latitude,municipality_id,municipality_name,created_at,updated_at
2,10743,12337669-b591-6b98-e053-d480220a5a3f,2022-02-17T00:05:41.634Z,2022-02-17T00:05:41.634Z,Silkeborg,by,8600,48369,9.57314013,56.18927819,740,Silkeborg,2022-04-03 17:46:43,2022-04-06 09:58:50
3,10359,12337669-d038-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Amalieager,by,4983,2,11.18911764,54.73038939,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:12
4,10759,12337669-b5db-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Vistoftehøj,by,8660,10,9.8057883,55.99579922,746,Skanderborg,2022-04-03 17:46:43,2022-04-06 09:58:57
5,10891,12337669-bbf0-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Sønder Gislum,by,9600,5,9.51272551,56.75849739,820,Vesthimmerlands,2022-04-03 17:46:43,2022-04-06 09:47:38
6,10445,12337669-bf2f-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Kohave,by,5932,4,10.67780329,54.80136337,482,Langeland,2022-04-03 17:46:43,2022-04-06 09:55:59
7,10439,12337669-c150-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Skårup,by,5881,1795,10.69173708,55.09371875,479,Svendborg,2022-04-03 17:46:43,2022-04-06 09:55:42
8,10448,12337669-d0d9-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Vinkælderhuse,by,5953,1,10.8426554,54.98130178,482,Langeland,2022-04-03 17:46:43,2022-04-06 09:55:58
9,10259,12337669-d2ee-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Svebølle,by,4470,2255,11.28444143,55.65046944,326,Kalundborg,2022-04-03 17:46:43,2022-04-06 09:53:25
10,10887,12337669-ca8d-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Haderup,by,9560,11,10.12521389,56.69779158,846,Mariagerfjord,2022-04-03 17:46:43,2022-04-06 09:59:52
11,10931,12337669-cdcd-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2020-02-05T22:23:59.028Z,Skagen,by,9990,7664,10.57757857,57.72384166,813,Frederikshavn,2022-04-03 17:46:43,2022-04-06 09:48:20
12,10202,12337669-d398-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Krøjerup,by,4180,3,11.51642628,55.46087094,340,Sorø,2022-04-03 17:46:43,2022-04-06 09:53:58
13,10573,12337669-b28e-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Tusmose,by,7080,0,9.62843928,55.62226612,630,Vejle,2022-04-03 17:46:43,2022-04-06 09:57:52
14,10614,12337669-a9d5-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Foldager,by,7400,6,8.82894297,56.22650645,657,Herning,2022-04-03 17:46:43,2022-04-06 09:57:59
15,10483,12337669-b0de-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Korup Huse,by,6372,4,9.16001391,55.05040701,580,Aabenraa,2022-04-03 17:46:43,2022-04-06 09:57:22
16,10496,12337669-b105-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Bovlund,by,6535,23,9.08982955,55.10085014,550,Tønder,2022-04-03 17:46:43,2022-04-06 09:56:42
17,10571,12337669-b35e-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Høed,by,7000,7,9.62559068,55.56420144,607,Fredericia,2022-04-03 17:46:43,2022-04-06 09:57:27
18,10568,12337669-aa8c-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Nørgård,by,6990,13,8.26545602,56.28074105,661,Holstebro,2022-04-03 17:46:43,2022-04-06 09:48:31
19,10469,12337669-b010-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Ravnhøj,by,6200,8,9.6055279,55.00831248,580,Aabenraa,2022-04-03 17:46:43,2022-04-06 09:57:21
20,10478,12337669-ae10-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Trekroner,by,6310,0,9.64881883,54.8692523,540,Sønderborg,2022-04-03 17:46:43,2022-04-06 09:56:33
21,10319,12337669-d82e-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Solbjerg,by,4750,3,11.91465761,55.14176863,390,Vordingborg,2022-04-03 17:46:43,2022-04-06 09:54:50
22,10059,12337669-dec4-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Dragør,by,2791,12349,12.66369756,55.59430907,155,Dragør,2022-04-03 17:46:43,2022-04-06 09:37:36
23,10060,12337669-dec4-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Dragør,by,2791,12349,12.66369756,55.59430907,185,Tårnby,2022-04-03 17:46:43,2022-04-06 09:49:51
24,10431,12337669-e2df-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Bredemiste,by,5853,3,10.6619549,55.231922,450,Nyborg,2022-04-03 17:46:43,2022-04-06 09:55:36
25,10042,12337669-da1f-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2020-02-05T22:23:59.028Z,Greve Strand,by,2670,43346,12.31910042,55.59535341,253,Greve,2022-04-03 17:46:43,2022-04-06 09:51:44
27,10358,12337669-d021-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Næs,by,4970,3,11.32000716,54.72292739,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:12
28,10358,12337669-d022-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Næsbæk,by,4970,6,11.36934118,54.69188237,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:12
29,10360,12337669-d6a3-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Hjelm,by,4990,52,11.76320657,54.81887075,376,Guldborgsund,2022-04-03 17:46:43,2022-04-06 09:54:43
30,10343,12337669-d02d-6b98-e053-d480220a5a3f,2020-06-26T22:59:30.931Z,2018-09-19T16:01:57.739Z,Knubbeløkke,by,4900,20,11.04601068,54.76667481,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:11
31,10330,12337669-d669-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Grønsund,by,4850,1,12.11964903,54.88579515,376,Guldborgsund,2022-04-03 17:46:43,2022-04-06 09:54:42
32,10343,12337669-d042-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Gammelby,by,4900,3,11.11574213,54.7700183,360,Lolland,2022-04-03 17:46:43,2022-04-06 09:54:11
33,10222,12337669-d13e-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Nyrup,by,4262,99,11.495837,55.22815782,370,Næstved,2022-04-03 17:46:43,2022-04-06 09:54:35
34,10311,12337669-d145-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Bistrup,by,4700,50,11.65475592,55.22366153,370,Næstved,2022-04-03 17:46:43,2022-04-06 09:54:34
35,10220,12337669-d16d-6b98-e053-d480220a5a3f,2021-09-23T22:56:04.674Z,2018-09-19T16:01:57.739Z,Ting Jellinge,by,4261,31,11.46219015,55.29917609,370,Næstved,2022-04-03 17:46:43,2022-04-06 09:54:36
36,10219,12337669-d17d-6b98-e053-d480220a5a3f,2018-09-19T16:01:57.739Z,2018-09-19T16:01:57.739Z,Oreby Huse,by,4261,6,11.39869042,55.24392832,330,Slagelse,2022-04-03 17:46:43,2022-04-06 09:53:41
